file_path,total_changes,developer_count,contributing_developers
some_root_dir/.../some_file,73,7,"Ev Si, Ig Ko, Le Vl, Ya De, le.vl, ma.se, no, se, si.ev"
some_root_dir/.../some_file,85,6,"Ig Ko, Le Vl, Se Ma, Tr.Al, le.vl, ma.se, no, se, si, si.ev"
some_root_dir/.../some_file,68,6,"Ig Ko, Le Vl, Se Ma, Ya De, ma.se, no, se, si.ev"
some_root_dir/.../some_file,47,6,"Ig Ko, Le Vl, Se Ma, Tr.Al, Ya De, le.vl, ma.se, se, si, si.ev"
some_root_dir/.../some_file,43,6,"Ig Ko, Le Vl, Se Ma, Ya De, ma.se, no, se, si.ev"
some_root_dir/.../some_file,26,6,"Ev Si, Ig Ko, Le Vl, Ya De, no, si.ev"
some_root_dir/.../some_file,19,6,"Ig Ko, Le Vl, Tr.Al, no, se, si, si.ev"
some_root_dir/.../some_file,158,5,"Ig Ko, Ke Sh, Le Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,100,5,"Ev Si, Ig Ko, Le Vl, Se Ma, le.vl, se, si.ev"
some_root_dir/.../some_file,98,5,"Ev Si, Ig Ko, Le Vl, Se Ma, le.vl, se, si.ev"
some_root_dir/.../some_file,61,5,"Ig Ko, Le Vl, Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,25,5,"Ev Si, Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,24,5,"Ev Si, Ig Ko, Le Vl, Se Ma, se, si.ev"
some_root_dir/.../some_file,24,5,"Ev Si, Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,17,5,"Ev Si, Ya De, no, se, si.ev"
some_root_dir/.../some_file,12,5,"Ev Si, Ig Ko, Le Vl, se, si.ev"
some_root_dir/.../some_file,11,5,"Ig Ko, Tr.Al, le.vl, se, si, si.ev"
some_root_dir/.../some_file,212,4,"Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,113,4,"Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,77,4,"Ig Ko, Le Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,77,4,"Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,65,4,"Ig Ko, Le Vl, Se Ma, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,63,4,"Ev Si, Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,59,4,"Ig Ko, Le Vl, Se Ma, si.ev"
some_root_dir/.../some_file,49,4,"Ev Si, Se Ma, le.vl, se, si.ev"
some_root_dir/.../some_file,47,4,"Ig Ko, Ke Sh, Le Vl, Se Ma, le.vl"
some_root_dir/.../some_file,40,4,"Ev Si, Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,36,4,"Ig Ko, Le Vl, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,33,4,"Ev Si, Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,32,4,"Le Vl, Se Ma, Ya De, le.vl, ma.se, se, si.ev"
some_root_dir/.../some_file,29,4,"Ig Ko, Le Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,28,4,"Ig Ko, Le Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,21,4,"Ev Si, Ig Ko, Se Ma, si.ev"
some_root_dir/.../some_file,20,4,"Ev Si, Le Vl, Se Ma, se, si.ev"
some_root_dir/.../some_file,20,4,"Ev Si, Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,19,4,"Ev Si, Se Ma, le.vl, se, si.ev"
some_root_dir/.../some_file,18,4,"Ig Ko, Le Vl, le.vl, se, si.ev"
some_root_dir/.../some_file,17,4,"Ev Si, Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,16,4,"Ev Si, Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,15,4,"Ig Ko, Ke Sh, Le Vl, si.ev"
some_root_dir/.../some_file,14,4,"Ig Ko, Le Vl, se, si.ev"
some_root_dir/.../some_file,12,4,"Ig Ko, le.vl, se, si.ev"
some_root_dir/.../some_file,5,4,"Ev Si, Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,5,4,"Le Vl, Tr.Al, no, si"
some_root_dir/.../some_file,4,4,"Le Vl, Tr.Al, no, si"
some_root_dir/.../some_file,90,3,"Ig Ko, Le Vl, le.vl, se"
some_root_dir/.../some_file,86,3,"Ig Ko, Se Ma, le.vl, ma.se, se"
some_root_dir/.../some_file,55,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,41,3,"Ig Ko, Ke Sh, ma.se, se"
some_root_dir/.../some_file,38,3,"Ig Ko, Le Vl, le.vl, se"
some_root_dir/.../some_file,32,3,"Ig Ko, Se Ma, le.vl, ma.se, se"
some_root_dir/.../some_file,31,3,"Ig Ko, le.vl, ma.se"
some_root_dir/.../some_file,30,3,"Se Ma, Ya De, se, si.ev"
some_root_dir/.../some_file,30,3,"Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,29,3,"le.vl, se, si.ev"
some_root_dir/.../some_file,29,3,"Ig Ko, Le Vl, le.vl, se"
some_root_dir/.../some_file,28,3,"Ig Ko, Le Vl, Se Ma, se"
some_root_dir/.../some_file,26,3,"Ig Ko, Ke Sh, se"
some_root_dir/.../some_file,26,3,"Ig Ko, Se Ma, le.vl, ma.se, se"
some_root_dir/.../some_file,24,3,"Ig Ko, Ke Sh, Se Ma"
some_root_dir/.../some_file,23,3,"Ig Ko, Ke Sh, se"
some_root_dir/.../some_file,23,3,"Ig Ko, Ke Sh, ma.se"
some_root_dir/.../some_file,22,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,20,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,20,3,"Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,18,3,"Ig Ko, Se Ma, le.vl, se"
some_root_dir/.../some_file,14,3,"Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,14,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,13,3,"Se Ma, le.vl, se, si.ev"
some_root_dir/.../some_file,13,3,"Ig Ko, Ya De, si.ev"
some_root_dir/.../some_file,12,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,12,3,"le.vl, se, si.ev"
some_root_dir/.../some_file,12,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,12,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,12,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,11,3,"Ig Ko, Se Ma, le.vl, se"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, le.vl, si.ev"
some_root_dir/.../some_file,11,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,11,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,11,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Kh Mi, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,10,3,"Ig Ko, le.vl, se"
some_root_dir/.../some_file,9,3,"Ev Si, Ig Ko, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, le.vl, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, Kh Mi, si.ev"
some_root_dir/.../some_file,9,3,"Kh Mi, se, si.ev"
some_root_dir/.../some_file,9,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, le.vl, si.ev"
some_root_dir/.../some_file,8,3,"Ig Ko, Le Vl, si.ev"
some_root_dir/.../some_file,8,3,"Se Ma, le.vl, si.ev"
some_root_dir/.../some_file,7,3,"Ig Ko, Se Ma, le.vl"
some_root_dir/.../some_file,7,2,"Ig Ko, Se Ma, le.vl"